房间号,请求时间,服务开始时间,服务结束时间,服务时长,风速,当前费用,费率
1,0,0,4,4,M,2.0,0.5
2,1,1,5,4,M,2.0,0.5
5,1,1,5,4,M,2.0,0.5
3,2,4,7,3,M,1.5,0.5
4,3,5,9,4,M,2.0,0.5
5,1,7,12,5,H,5.0,1.0
2,7,12,13,1,M,0.5,0.5
1,0,5,14,9,H,9.0,1.0
3,2,13,14,1,M,0.5,0.5
5,1,14,15,1,L,0.333333333333333,0.333333333333333
2,7,14,16,2,M,1.0,0.5
3,2,16,17,1,L,0.333333333333333,0.333333333333333
4,3,9,18,9,H,9.0,1.0
5,1,15,20,5,H,5.0,1.0
3,2,17,22,5,H,5.0,1.0
5,1,21,22,1,H,1.0,1.0
1,18,22,23,1,M,0.5,0.5
4,3,23,24,1,M,0.5,0.5
2,19,19,25,6,M,3.0,0.5
